"id","spp","species","cm2","polyps","polyps_cm2"
"764","AC","Acropora cytherea",16,1268,79.25
"663","AH","Acropora hyacinthus",16,1355,84.6875
"719","AH","Acropora hyacinthus",16,1212,75.75
"large G.","GP","Goniastrea pectinata",16,90,5.625
"769","GP","Goniastrea pectinata",16,57,3.5625
"733","GP","Goniastrea pectinata",16,112,7
"710","GR","Goniastrea retiformis",16,259,15.65625
"G1","GR","Goniastrea retiformis",16,154,9.625
"G2","GR","Goniastrea retiformis",16,151,9.4375
"G3","GP","Goniastrea pectinata",16,97,6.0625
"G4","GR","Goniastrea retiformis",9,90,10
"581","AD","Acropora cf. digitifera",16,2237,139.8125
"8","AD","Acropora cf. digitifera",9,693,77
"706","AS","Acropora humilis",16,997,62.3125
"462","AS","Acropora humilis",16,1001,62.5625
"761","AS","Acropora humilis",9,491,54.55555556
"AS 1","AS","Acropora humilis",16,806,50.375
"713","AD","Acropora cf. digitifera",9,686,76.22222222
"144","AD","Acropora cf. digitifera",16,651,40.6875
"714","AD","Acropora cf. digitifera",16,1419,88.6875
"715","AL","Acropora spathulata",16,2084,130.25
"593","AL","Acropora spathulata",16,2452,153.25
"720","AL","Acropora spathulata",16,1151,71.9375
"460","AL","Acropora spathulata",16,2559,159.9375
"707","AN","Acropora nasuta",16,1430,89.375
"469","AN","Acropora nasuta",16,1086,67.875
"181","AN","Acropora nasuta",16,766,47.875
"723","AN","Acropora nasuta",16,851,53.1875
"725","AN","Acropora nasuta",16,1570,98.125
"511","AI","Acropora intermedia",4,138,34.5
"507","AI","Acropora intermedia",4,393,98.25
"718","AL","Acropora spathulata",16,2580,161.25
"727","AR","Acropora robusta",16,1546,96.625
"760","AR","Acropora robusta",16,1492,93.25
"502","AR","Acropora robusta",9,305,33.88888889
